id year bid n1 n2 imps hand suit hcp suitq
ec_251 1998 0 1 1 -8 1 2 5 4
ec_251 1998 23 1 1 8 1 2 5 4
ec_393 1998 22 1 1 1 1 2 7 5
ec_393 1998 23 1 1 -1 1 2 7 5
ec_859 2001 22 3 3 50 2 2 8 11
ec_859 2001 23 3 3 -50 2 2 8 11
ec_2491 2004 22 4 6 -108 1 2 8 10
ec_2491 2004 33 1 9 -25 1 2 8 10
ec_2491 2004 23 5 5 133 1 2 8 10
ec_2497 2004 0 8 1 -15 1 2 5 5
ec_2497 2004 22 1 8 15 1 2 5 5
ec_3206 2004 23 5 5 35 1 2 7 11
ec_3206 2004 0 2 8 -76 1 2 7 11
ec_3206 2004 22 3 7 41 1 2 7 11
ec_4877 2004 0 3 7 93 1 2 9 9
ec_4877 2004 23 6 4 -121 1 2 9 9
ec_4877 2004 22 1 9 28 1 2 9 9
ec_5102 2004 22 3 7 49 1 2 7 12
ec_5102 2004 23 3 7 -20 1 2 7 12
ec_5102 2004 0 4 6 -29 1 2 7 12
ec_6233 2004 0 3 7 -33 1 2 7 10
ec_6233 2004 23 3 7 77 1 2 7 10
ec_6233 2004 22 3 7 -33 1 2 7 10
ec_6233 2004 13 1 9 -11 1 2 7 10
ec_6439 2004 22 5 5 -70 2 2 8 17
ec_6439 2004 33 1 9 56 2 2 8 17
ec_6439 2004 0 1 9 -35 2 2 8 17
ec_6439 2004 23 3 7 49 2 2 8 17
ec_7111 2006 22 1 1 -1 1 2 9 2
ec_7111 2006 0 1 1 1 1 2 9 2
ec_7445 2006 23 1 1 4 2 2 7 9
ec_7445 2006 22 1 1 -4 2 2 7 9
ec_7481 2006 23 1 1 -12 1 2 9 4
ec_7481 2006 0 1 1 12 1 2 9 4
ec_7661 2006 0 1 1 4 1 2 9 10
ec_7661 2006 23 1 1 -4 1 2 9 10
ec_7667 2006 0 1 1 -11 2 2 6 6
ec_7667 2006 23 1 1 11 2 2 6 6
ec_7707 2006 0 1 1 0 1 2 9 7
ec_7707 2006 23 1 1 0 1 2 9 7
ec_8261 2006 23 1 1 -4 1 2 8 9
ec_8261 2006 22 1 1 4 1 2 8 9
ec_8413 2007 0 6 6 -42 1 2 8 4
ec_8413 2007 23 3 9 63 1 2 8 4
ec_8413 2007 22 3 9 -21 1 2 8 4
ec_8431 2007 22 6 6 95 1 2 9 9
ec_8431 2007 23 3 9 41 1 2 9 9
ec_8431 2007 0 2 10 -59 1 2 9 9
ec_8431 2007 13 1 11 -77 1 2 9 9
ec_11541 2008 22 5 7 -103 1 2 5 11
ec_11541 2008 0 6 6 37 1 2 5 11
ec_11541 2008 23 1 11 66 1 2 5 11
ec_12260 2008 13 2 8 -104 3 2 7 8
ec_12260 2008 0 2 8 104 3 2 7 8
ec_12260 2008 22 4 6 -4 3 2 7 8
ec_12260 2008 23 2 8 4 3 2 7 8
ec_13331 2008 0 2 10 -35 2 2 8 9
ec_13331 2008 22 7 5 66 2 2 8 9
ec_13331 2008 23 3 9 -31 2 2 8 9
ec_16226 2008 23 5 6 -84 1 2 5 10
ec_16226 2008 22 3 8 169 1 2 5 10
ec_16226 2008 33 3 8 -85 1 2 5 10
ec_16234 2008 23 3 1 33 2 2 8 11
ec_16234 2008 22 1 3 -33 2 2 8 11
ec_16464 2008 22 3 2 -46 1 2 8 12
ec_16464 2008 23 2 3 46 1 2 8 12
ec_16484 2008 0 3 1 12 2 2 8 5
ec_16484 2008 22 1 3 -12 2 2 8 5
ec_16892 2008 23 3 9 -201 1 2 6 5
ec_16892 2008 0 7 5 323 1 2 6 5
ec_16892 2008 22 2 10 -122 1 2 6 5
ec_17353 2008 23 6 5 56 1 2 6 8
ec_17353 2008 22 4 7 110 1 2 6 8
ec_17353 2008 33 1 10 -166 1 2 6 8
ec_17570 2008 23 7 5 -204 2 2 7 9
ec_17570 2008 22 5 7 204 2 2 7 9
ec_17814 2008 22 5 7 -11 1 2 9 10
ec_17814 2008 0 3 9 -86 1 2 9 10
ec_17814 2008 23 4 8 97 1 2 9 10
ec_19624 2009 22 2 2 -9 1 2 9 15
ec_19624 2009 23 2 2 9 1 2 9 15
ec_19943 2009 0 1 1 2 1 2 9 8
ec_19943 2009 23 1 1 -2 1 2 9 8
ec_19971 2009 22 1 1 1 2 2 9 10
ec_19971 2009 23 1 1 -1 2 2 9 10
ec_20295 2009 23 3 1 25 1 2 8 7
ec_20295 2009 0 1 3 -25 1 2 8 7
ec_20627 2009 23 2 1 0 2 2 9 13
ec_20627 2009 22 1 2 0 2 2 9 13
ol_23 1992 0 1 3 17 1 2 8 9
ol_23 1992 22 3 1 -17 1 2 8 9
ol_225 1992 0 1 1 5 2 2 8 3
ol_225 1992 22 1 1 -5 2 2 8 3
ol_339 1992 13 5 4 96 3 2 9 5
ol_339 1992 22 3 6 -55 3 2 9 5
ol_339 1992 23 1 8 -41 3 2 9 5
ol_875 1992 22 5 7 -77 1 2 6 13
ol_875 1992 0 4 8 15 1 2 6 13
ol_875 1992 12 1 11 50 1 2 6 13
ol_875 1992 23 2 10 12 1 2 6 13
ol_1075 1992 23 3 1 -14 3 2 8 12
ol_1075 1992 22 1 3 14 3 2 8 12
ol_1774 1992 22 7 5 10 1 2 6 5
ol_1774 1992 0 4 8 -20 1 2 6 5
ol_1774 1992 23 1 11 10 1 2 6 5
ol_6356 1992 22 7 5 0 1 2 9 13
ol_6356 1992 23 4 8 0 1 2 9 13
ol_6356 1992 13 1 11 0 1 2 9 13
ol_8024 1992 0 4 4 -57 1 2 6 8
ol_8024 1992 22 4 4 57 1 2 6 8
ol_8510 1992 23 1 5 -41 1 2 8 10
ol_8510 1992 0 2 4 -33 1 2 8 10
ol_8510 1992 22 3 3 74 1 2 8 10
ol_8846 2000 33 2 13 -36 1 2 5 10
ol_8846 2000 22 5 10 -88 1 2 5 10
ol_8846 2000 23 7 8 -20 1 2 5 10
ol_8846 2000 0 1 14 144 1 2 5 10
ol_8868 2000 22 4 11 -75 1 2 6 9
ol_8868 2000 23 5 10 -131 1 2 6 9
ol_8868 2000 0 6 9 206 1 2 6 9
ol_9365 2000 23 7 11 297 1 2 8 4
ol_9365 2000 0 7 11 -375 1 2 8 4
ol_9365 2000 22 4 14 78 1 2 8 4
ol_9651 2000 0 14 2 52 1 2 8 5
ol_9651 2000 23 1 15 -107 1 2 8 5
ol_9651 2000 22 1 15 55 1 2 8 5
ol_9653 2000 23 5 11 138 1 2 6 8
ol_9653 2000 0 8 8 -452 1 2 6 8
ol_9653 2000 22 3 13 314 1 2 6 8
ol_10476 2000 23 7 3 32 2 2 7 8
ol_10476 2000 22 3 7 -32 2 2 7 8
ol_10486 2000 0 2 8 -91 1 2 6 7
ol_10486 2000 23 6 4 74 1 2 6 7
ol_10486 2000 22 2 8 17 1 2 6 7
ol_10900 2000 23 4 4 31 2 2 9 11
ol_10900 2000 22 4 4 -31 2 2 9 11
ol_11062 2000 23 1 3 0 2 2 8 9
ol_11062 2000 22 3 1 0 2 2 8 9
ol_11324 2000 22 2 2 -28 1 2 8 11
ol_11324 2000 23 1 3 27 1 2 8 11
ol_11324 2000 0 1 3 1 1 2 8 11
ol_11574 2000 22 1 1 9 1 2 8 15
ol_11574 2000 33 1 1 -9 1 2 8 15
ol_11846 2000 22 3 1 10 2 2 9 12
ol_11846 2000 23 1 3 -10 2 2 9 12
ol_11869 2000 23 1 3 -48 1 2 9 11
ol_11869 2000 22 2 2 45 1 2 9 11
ol_11869 2000 33 1 3 3 1 2 9 11
ol_11873 2000 22 1 3 -11 2 2 8 7
ol_11873 2000 23 1 3 -8 2 2 8 7
ol_11873 2000 0 2 2 19 2 2 8 7
ol_12831 2004 22 1 1 0 1 2 8 5
ol_12831 2004 0 1 1 0 1 2 8 5
ol_13763 2004 22 1 5 31 1 2 6 7
ol_13763 2004 0 5 1 -31 1 2 6 7
ol_14387 2004 0 1 5 -6 1 2 8 10
ol_14387 2004 22 5 1 6 1 2 8 10
ol_14728 2004 23 3 1 17 1 2 8 12
ol_14728 2004 22 1 3 -17 1 2 8 12
sg_187 1997 22 1 1 -4 2 2 7 12
sg_187 1997 23 1 1 4 2 2 7 12
sg_1375 2001 22 1 1 0 1 2 9 12
sg_1375 2001 23 1 1 0 1 2 9 12
sg_1569 2001 22 1 1 0 2 2 8 12
sg_1569 2001 23 1 1 0 2 2 8 12
sg_1999 2001 0 1 1 -1 1 2 6 5
sg_1999 2001 23 1 1 1 1 2 6 5
sg_2163 2001 22 1 1 2 1 2 8 8
sg_2163 2001 23 1 1 -2 1 2 8 8
sg_2177 2001 22 1 1 1 2 2 8 9
sg_2177 2001 23 1 1 -1 2 2 8 9
sg_2219 2002 23 1 1 9 1 2 6 6
sg_2219 2002 0 1 1 -9 1 2 6 6
sg_2231 2002 0 1 1 -3 1 2 8 10
sg_2231 2002 23 1 1 3 1 2 8 10
sg_2633 2004 23 1 1 1 2 2 6 12
sg_2633 2004 22 1 1 -1 2 2 6 12
sg_2891 2005 0 1 1 -11 1 2 5 4
sg_2891 2005 22 1 1 11 1 2 5 4
sg_2991 2005 0 3 1 -39 1 2 5 4
sg_2991 2005 23 1 3 39 1 2 5 4
sg_3382 2006 23 1 1 -14 1 2 6 10
sg_3382 2006 0 1 1 14 1 2 6 10
sg_3424 2006 23 1 1 1 1 2 8 12
sg_3424 2006 22 1 1 -1 1 2 8 12
sg_3586 2006 23 1 1 -12 2 2 7 7
sg_3586 2006 0 1 1 12 2 2 7 7
sg_3782 2006 33 1 1 0 3 2 7 10
sg_3782 2006 23 1 1 0 3 2 7 10
sg_4641 2007 0 1 1 0 1 2 6 7
sg_4641 2007 23 1 1 0 1 2 6 7
sg_4723 2007 23 1 1 -5 2 2 8 10
sg_4723 2007 22 1 1 5 2 2 8 10
sg_4758 2008 23 1 1 -10 1 2 6 9
sg_4758 2008 22 1 1 10 1 2 6 9
sg_4776 2008 23 1 1 5 2 2 7 10
sg_4776 2008 22 1 1 -5 2 2 7 10
