id year bid n1 n2 imps hand suit hcp suitq
bb9_9852 2009 24 1 4 -8 2 1 10 14
bb9_10333 2009 0 3 3 0 2 1 10 13
bb9_10333 2009 24 2 4 0 2 1 10 13
bb9_10333 2009 14 1 5 0 2 1 10 13
bb9_10774 2009 24 2 2 -54 1 1 7 12
bb9_10774 2009 0 2 2 54 1 1 7 12
bb9_11504 2011 0 9 1 25 1 1 7 9
bb9_11504 2011 24 1 9 -25 1 1 7 9
bb9_11648 2011 14 2 4 -12 1 1 10 10
bb9_11648 2011 13 1 5 30 1 1 10 10
bb9_11648 2011 0 3 3 -18 1 1 10 10
bb9_11750 2011 0 1 1 0 2 1 5 7
bb9_11750 2011 24 1 1 0 2 1 5 7
bb9_12144 2011 14 2 5 2 3 1 8 6
bb9_12144 2011 0 5 2 -2 3 1 8 6
bb9_12607 2011 0 3 3 16 1 1 6 3
bb9_12607 2011 24 3 3 -16 1 1 6 3
bb9_12837 2011 0 5 1 -8 1 1 9 5
bb9_12837 2011 24 1 5 8 1 1 9 5
bb9_13343 2011 0 6 1 -33 2 1 8 14
bb9_13343 2011 24 1 6 33 2 1 8 14
bb9_13507 2011 0 2 4 -12 2 1 10 5
bb9_13507 2011 24 1 5 -6 2 1 10 5
bb9_13507 2011 14 3 3 18 2 1 10 5
bb9_13617 2011 24 1 3 -2 3 1 9 10
bb9_13617 2011 14 2 2 20 3 1 9 10
bb9_13617 2011 0 1 3 -18 3 1 9 10
bb9_13757 2011 0 1 2 12 2 1 10 7
bb9_13757 2011 14 2 1 -12 2 1 10 7
bb9_13933 2011 0 3 1 18 2 1 9 10
bb9_13933 2011 14 1 3 -18 2 1 9 10
bb9_14069 2011 0 2 1 -11 2 1 9 11
bb9_14069 2011 24 1 2 11 2 1 9 11
bb9_14579 2013 21 1 3 0 3 1 8 7
bb9_14579 2013 14 2 2 0 3 1 8 7
bb9_14579 2013 24 1 3 0 3 1 8 7
bb9_14589 2013 24 1 2 0 1 1 7 8
bb9_14589 2013 0 2 1 0 1 1 7 8
bb9_14599 2013 0 3 1 -2 1 1 7 5
bb9_14599 2013 24 1 3 2 1 1 7 5
bb9_15057 2013 0 5 1 30 1 1 5 12
bb9_15057 2013 22 1 5 -30 1 1 5 12
bb9_15273 2013 0 3 1 26 1 1 10 9
bb9_15273 2013 14 1 3 -26 1 1 10 9
bb9_15331 2013 24 1 2 6 3 1 6 12
bb9_15331 2013 14 1 2 -17 3 1 6 12
bb9_15331 2013 0 1 2 11 3 1 6 12
ca_1816 2008 24 1 1 -12 1 1 8 9
ca_1816 2008 0 1 1 12 1 1 8 9
ca_1826 2008 14 1 1 -14 1 1 10 10
ca_1826 2008 24 1 1 14 1 1 10 10
dt_35 1997 24 1 1 2 3 1 9 7
dt_35 1997 22 1 1 -2 3 1 9 7
dt_127 1997 24 1 1 -8 2 1 7 15
dt_127 1997 0 1 1 8 2 1 7 15
dt_217 1998 22 1 1 0 1 1 7 5
dt_217 1998 0 1 1 0 1 1 7 5
dt_353 1999 0 1 1 -4 1 1 8 3
dt_353 1999 24 1 1 4 1 1 8 3
dt_366 1999 24 1 1 10 1 1 8 11
dt_366 1999 22 1 1 -10 1 1 8 11
dt_670 2000 24 1 1 1 2 1 9 9
dt_670 2000 0 1 1 -1 2 1 9 9
dt_820 2001 14 1 1 7 1 1 10 8
dt_820 2001 0 1 1 -7 1 1 10 8
dt_934 2003 24 1 1 6 1 1 8 7
dt_934 2003 0 1 1 -6 1 1 8 7
dt_946 2003 14 1 1 -3 2 1 10 7
dt_946 2003 0 1 1 3 2 1 10 7
dt_1008 2003 24 1 1 -1 1 1 7 10
dt_1008 2003 22 1 1 1 1 1 7 10
dt_1222 2005 24 1 1 -5 1 1 6 11
dt_1222 2005 0 1 1 5 1 1 6 11
dt_1384 2006 0 1 1 0 1 1 9 1
dt_1384 2006 24 1 1 0 1 1 9 1
dt_1448 2006 24 1 1 1 1 1 8 4
dt_1448 2006 0 1 1 -1 1 1 8 4
dt_1611 2009 24 1 1 1 1 1 8 3
dt_1611 2009 0 1 1 -1 1 1 8 3
dt_1631 2009 24 1 1 2 1 1 8 9
dt_1631 2009 0 1 1 -2 1 1 8 9
dt_1867 2011 14 1 1 12 1 1 10 14
dt_1867 2011 0 1 1 -12 1 1 10 14
dt_1985 2011 24 1 1 -2 1 1 7 10
dt_1985 2011 0 1 1 2 1 1 7 10
dt_2116 2012 24 1 1 -4 1 1 8 12
dt_2116 2012 0 1 1 4 1 1 8 12
dt_2154 2012 0 1 1 -6 1 1 8 6
dt_2154 2012 24 1 1 6 1 1 8 6
dt_2210 2013 0 1 1 0 1 1 8 8
dt_2210 2013 24 1 1 0 1 1 8 8
ec_235 1998 14 1 1 -2 1 1 9 12
ec_235 1998 0 1 1 2 1 1 9 12
ec_273 1998 24 1 1 -1 1 1 5 5
ec_273 1998 0 1 1 1 1 1 5 5
ec_321 1998 24 1 1 0 1 1 9 8
ec_321 1998 0 1 1 0 1 1 9 8
ec_357 1998 24 1 1 -1 1 1 7 9
ec_357 1998 0 1 1 1 1 1 7 9
ec_377 1998 22 1 1 6 1 1 9 16
ec_377 1998 24 1 1 -6 1 1 9 16
ec_515 1998 34 1 1 1 1 1 5 9
ec_515 1998 24 1 1 -1 1 1 5 9
ec_529 1998 0 1 1 -12 1 1 9 9
ec_529 1998 14 1 1 12 1 1 9 9
ec_669 1998 24 1 1 2 3 1 9 12
ec_669 1998 14 1 1 -2 3 1 9 12
ec_713 1998 14 1 1 -8 1 1 9 7
ec_713 1998 0 1 1 8 1 1 9 7
ec_723 1998 0 1 1 -1 1 1 8 4
ec_723 1998 24 1 1 1 1 1 8 4
ec_821 1999 0 1 1 -4 2 1 9 5
ec_821 1999 24 1 1 4 2 1 9 5
ec_1177 2001 0 5 1 13 1 1 9 12
ec_1177 2001 22 1 5 -13 1 1 9 12
ec_1293 2001 14 1 3 42 1 1 10 6
ec_1293 2001 0 3 1 -42 1 1 10 6
ec_1673 2004 0 4 5 15 1 1 8 10
ec_1673 2004 24 5 4 -15 1 1 8 10
ec_1683 2004 0 7 3 -12 1 1 9 12
ec_1683 2004 22 1 9 14 1 1 9 12
ec_1683 2004 24 2 8 -2 1 1 9 12
ec_2079 2004 14 7 1 35 1 1 10 7
ec_2079 2004 0 1 7 -35 1 1 10 7
ec_2439 2004 24 1 4 0 3 1 9 10
ec_2439 2004 14 4 1 0 3 1 9 10
ec_2479 2004 24 3 5 2 2 1 6 8
ec_2479 2004 0 5 3 -2 2 1 6 8
ec_2497 2004 24 2 6 -17 2 1 8 10
ec_2497 2004 0 6 2 17 2 1 8 10
ec_2697 2004 24 2 6 2 2 1 10 5
ec_2697 2004 0 3 5 -9 2 1 10 5
ec_2697 2004 14 2 6 -6 2 1 10 5
ec_2697 2004 11 1 7 13 2 1 10 5
ec_2701 2004 0 3 5 -21 1 1 5 5
ec_2701 2004 24 3 5 17 1 1 5 5
ec_2701 2004 23 1 7 -21 1 1 5 5
ec_2701 2004 22 1 7 25 1 1 5 5
ec_2832 2004 0 8 1 11 2 1 10 6
ec_2832 2004 14 1 8 -11 2 1 10 6
ec_3651 2004 0 6 1 1 1 1 7 6
ec_3651 2004 24 1 6 -1 1 1 7 6
ec_3824 2004 0 5 5 85 2 1 10 12
ec_3824 2004 14 2 8 -44 2 1 10 12
ec_3824 2004 24 3 7 -41 2 1 10 12
ec_3805 2004 0 7 1 -37 1 1 10 7
ec_3805 2004 24 1 7 37 1 1 10 7
ec_4723 2004 0 2 1 12 2 1 10 8
ec_4723 2004 14 1 2 -12 2 1 10 8
ec_5072 2004 22 1 7 2 1 1 7 9
ec_5072 2004 0 6 2 -4 1 1 7 9
ec_5072 2004 24 1 7 2 1 1 7 9
ec_5288 2004 0 5 5 28 1 1 9 9
ec_5288 2004 24 5 5 -28 1 1 9 9
ec_5292 2004 24 4 4 -58 1 1 9 9
ec_5292 2004 0 4 4 58 1 1 9 9
ec_5897 2004 14 2 6 18 1 1 9 13
ec_5897 2004 0 6 2 -18 1 1 9 13
ec_6435 2004 24 1 9 12 1 1 9 9
ec_6435 2004 14 5 5 31 1 1 9 9
ec_6435 2004 42 1 9 12 1 1 9 9
ec_6435 2004 0 2 8 -67 1 1 9 9
ec_6435 2004 22 1 9 12 1 1 9 9
ec_6457 2004 24 1 9 -64 2 1 8 12
ec_6457 2004 0 8 2 103 2 1 8 12
ec_6457 2004 23 1 9 -39 2 1 8 12
ec_6635 2004 14 3 5 -7 1 1 9 6
ec_6635 2004 0 4 4 19 1 1 9 6
ec_6635 2004 24 1 7 -12 1 1 9 6
ec_7549 2006 14 1 1 -5 1 1 10 10
ec_7549 2006 0 1 1 5 1 1 10 10
ec_7687 2006 14 1 1 -6 2 1 10 11
ec_7687 2006 0 1 1 6 2 1 10 11
ec_7839 2006 24 1 1 11 1 1 10 7
ec_7839 2006 0 1 1 -11 1 1 10 7
ec_8037 2006 0 1 1 12 1 1 6 5
ec_8037 2006 24 1 1 -12 1 1 6 5
ec_8226 2006 24 1 1 11 2 1 10 16
ec_8226 2006 14 1 1 -11 2 1 10 16
ec_8255 2006 0 1 1 0 2 1 10 7
ec_8255 2006 14 1 1 0 2 1 10 7
ec_8271 2006 14 1 1 5 1 1 9 10
ec_8271 2006 24 1 1 -5 1 1 9 10
ec_8305 2006 0 1 1 11 1 1 7 4
ec_8305 2006 22 1 1 -11 1 1 7 4
ec_8571 2007 14 5 5 30 3 1 7 2
ec_8571 2007 24 2 8 -16 3 1 7 2
ec_8571 2007 0 3 7 -14 3 1 7 2
ec_8641 2007 0 11 1 -12 2 1 7 2
ec_8641 2007 22 1 11 12 2 1 7 2
ec_9749 2007 51 2 8 81 1 1 5 6
ec_9749 2007 0 5 5 3 1 1 5 6
ec_9749 2007 24 1 9 -83 1 1 5 6
ec_9749 2007 31 1 9 -83 1 1 5 6
ec_9749 2007 41 1 9 82 1 1 5 6
ec_9751 2007 22 3 7 -156 1 1 7 11
ec_9751 2007 0 1 9 -3 1 1 7 11
ec_9751 2007 24 6 4 159 1 1 7 11
ec_9837 2007 14 2 6 16 1 1 10 5
ec_9837 2007 0 5 3 70 1 1 10 5
ec_9837 2007 24 1 7 -86 1 1 10 5
ec_10260 2008 22 1 12 -5 2 1 6 7
ec_10260 2008 0 11 2 -3 2 1 6 7
ec_10260 2008 14 1 12 8 2 1 6 7
ec_10394 2008 0 8 6 80 1 1 9 11
ec_10394 2008 15 1 13 35 1 1 9 11
ec_10394 2008 24 4 10 -179 1 1 9 11
ec_10394 2008 14 1 13 64 1 1 9 11
ec_10659 2008 0 8 6 -30 1 1 7 10
