id year bid1 bid2 n1 n2 imps hand suit hcp suitq
ol_11338 2000 23 0 1 1 0 3 2 8 12
ol_11398 2000 23 0 1 3 -9 1 2 10 12
ol_11696 2000 23 0 2 2 0 2 2 5 7
ol_12007 2000 23 0 2 2 -2 1 2 9 11
ol_12360 2004 23 0 3 4 1 1 2 7 13
ol_12490 2004 23 0 1 5 3 1 2 9 11
ol_12667 2004 23 0 1 6 -23 1 2 9 5
ol_13657 2004 23 0 1 3 1 1 2 8 9
ol_14520 2004 23 0 1 3 0 1 2 6 6
sg_177 1997 23 0 1 1 0 2 2 6 11
sg_643 1998 23 0 1 1 10 1 2 9 5
sg_1643 2001 23 0 1 1 -12 1 2 9 11
sg_2067 2001 23 0 1 1 5 2 2 8 10
sg_2509 2003 23 0 1 1 13 1 2 6 8
sg_2943 2005 23 0 1 1 2 2 2 9 3
sg_2993 2005 23 0 1 1 -1 2 2 10 11
sg_3680 2006 23 0 1 1 0 1 2 9 9
sg_3756 2006 23 0 1 1 13 1 2 9 11
sg_4272 2007 23 0 3 1 21 1 2 9 7
sg_4762 2008 23 0 1 1 -11 2 2 8 9
sg_4782 2008 23 0 1 1 -13 1 2 6 8
sg_4860 2008 23 0 1 1 1 1 2 7 10
sg_4870 2008 23 0 1 1 -3 1 2 9 9
sg_5000 2008 23 0 1 1 7 1 2 6 6
sg_5109 2008 23 0 1 1 -7 1 2 9 9
sg_5528 2009 23 0 1 3 0 1 2 8 9
sg_5781 2009 23 0 1 1 1 1 2 9 9
sg_6415 2010 23 0 1 3 12 1 2 10 5
sg_6527 2010 23 0 1 1 -12 1 2 10 0
sg_7179 2011 23 0 1 1 11 1 2 9 13
sg_8741 2013 23 0 2 2 -4 2 2 8 6
us_917 2001 23 0 1 1 11 1 2 9 10
us_1385 2001 23 0 1 1 1 1 2 5 10
us_2806 2004 23 0 1 1 0 1 2 8 9
us_4847 2006 23 0 1 1 0 1 2 8 11
us_5622 2007 23 0 1 1 1 1 2 8 12
us_5674 2007 23 0 1 1 2 2 2 8 7
us_5712 2007 23 0 1 3 -11 2 2 8 8
us_5906 2007 23 0 1 3 -7 1 2 5 9
us_6514 2007 23 0 1 3 6 1 2 8 9
us_7848 2008 23 0 1 2 21 2 2 6 8
us_9356 2009 23 0 1 1 -11 1 2 9 9
us_9629 2009 23 0 1 1 2 1 2 8 10
us_9999 2009 23 0 1 1 6 1 2 9 6
us_10232 2009 23 0 1 1 -3 2 2 9 10
us_13249 2011 23 0 1 1 0 2 2 9 12
us_14367 2011 23 0 1 1 4 1 2 7 10
us_15281 2011 23 0 1 1 13 2 2 5 2
us_16405 2012 23 0 1 1 -5 1 2 9 13
us_16709 2012 23 0 1 1 -6 2 2 7 7
vb_183 1998 23 0 1 1 12 1 2 7 5
vb_427 2001 23 0 1 1 -1 1 2 5 1
vb_1591 2006 23 0 1 1 2 1 2 10 5
vb_1827 2006 23 0 2 2 17 1 2 8 10
vb_2261 2007 23 0 1 1 -3 2 2 10 13
vb_2650 2008 23 0 1 3 23 1 2 9 18
vb_2726 2008 23 0 1 1 -3 1 2 7 9
vb_2898 2008 23 0 1 1 -15 1 2 10 7
vb_4051 2010 23 0 1 3 34 1 2 10 13
vb_4351 2010 23 0 1 3 0 2 2 5 5
vb_4379 2010 23 0 3 1 1 1 2 7 11
vb_5837 2013 23 0 1 1 8 1 2 8 11
vb_6203 2013 23 0 1 1 -1 1 2 5 6
vb_6249 2013 23 0 1 1 -3 1 2 9 8
vb_6821 2014 23 0 1 1 -11 1 2 5 9
