id year bid n1 n2 imps hand suit hcp suitq
ec_8017 2006 0 1 1 13 2 1 7 5
ec_8017 2006 22 1 1 -13 2 1 7 5
ec_8643 2007 24 7 5 7 1 1 8 12
ec_8643 2007 22 4 8 -18 1 1 8 12
ec_8643 2007 0 1 11 11 1 1 8 12
ec_10242 2008 24 4 10 -189 1 1 8 6
ec_10242 2008 22 4 10 -7 1 1 8 6
ec_10242 2008 0 6 8 196 1 1 8 6
ec_10246 2008 24 4 1 5 3 1 7 10
ec_10246 2008 22 1 4 -5 3 1 7 10
ec_11196 2008 22 4 12 -15 2 1 8 9
ec_11196 2008 0 8 8 -126 2 1 8 9
ec_11196 2008 24 4 12 141 2 1 8 9
ec_11757 2008 22 3 9 95 1 1 7 10
ec_11757 2008 34 2 10 -123 1 1 7 10
ec_11757 2008 24 6 6 22 1 1 7 10
ec_11757 2008 0 1 11 6 1 1 7 10
ec_12663 2008 0 2 8 -28 1 1 8 9
ec_12663 2008 22 3 7 48 1 1 8 9
ec_12663 2008 24 4 6 31 1 1 8 9
ec_12663 2008 23 1 9 -51 1 1 8 9
ec_13568 2008 24 3 9 78 2 1 8 6
ec_13568 2008 0 5 7 83 2 1 8 6
ec_13568 2008 22 4 8 -161 2 1 8 6
ec_14494 2008 21 1 2 -3 3 1 7 9
ec_14494 2008 22 1 2 0 3 1 7 9
ec_14494 2008 0 1 2 3 3 1 7 9
ec_14756 2008 0 9 3 13 1 1 6 8
ec_14756 2008 22 3 9 -13 1 1 6 8
ec_16015 2008 24 6 6 121 1 1 9 14
ec_16015 2008 22 4 8 -18 1 1 9 14
ec_16015 2008 34 1 11 -77 1 1 9 14
ec_16015 2008 0 1 11 -26 1 1 9 14
ec_19360 2009 22 2 2 -10 2 1 8 11
ec_19360 2009 24 2 2 10 2 1 8 11
ec_20029 2009 24 2 2 -9 2 1 6 6
ec_20029 2009 0 2 2 9 2 1 6 6
ec_20657 2009 24 2 2 -12 1 1 7 8
ec_20657 2009 22 1 3 8 1 1 7 8
ec_20657 2009 0 1 3 4 1 1 7 8
ol_273 1992 24 1 1 1 1 1 8 12
ol_273 1992 22 1 1 -1 1 1 8 12
ol_349 1992 22 3 2 7 3 1 8 10
ol_349 1992 24 2 3 -7 3 1 8 10
ol_1091 1992 24 3 9 -173 1 1 6 9
ol_1091 1992 22 4 8 278 1 1 6 9
ol_1091 1992 23 2 10 70 1 1 6 9
ol_1091 1992 0 3 9 -175 1 1 6 9
ol_1292 1992 24 4 3 -27 3 1 6 7
ol_1292 1992 23 1 6 37 3 1 6 7
ol_1292 1992 0 2 5 -10 3 1 6 7
ol_1788 1992 22 5 6 2 1 1 9 10
ol_1788 1992 14 1 10 -37 1 1 9 10
ol_1788 1992 24 4 7 -11 1 1 9 10
ol_1788 1992 23 1 10 46 1 1 9 10
ol_2016 1992 22 1 2 -26 2 1 7 11
ol_2016 1992 0 2 1 26 2 1 7 11
ol_2268 1992 23 1 11 -128 1 1 9 10
ol_2268 1992 22 5 7 87 1 1 9 10
ol_2268 1992 24 4 8 3 1 1 9 10
ol_2268 1992 0 1 11 80 1 1 9 10
ol_2268 1992 14 1 11 -42 1 1 9 10
ol_2520 1992 0 1 10 28 2 1 9 10
ol_2520 1992 22 4 7 -44 2 1 9 10
ol_2520 1992 24 4 7 59 2 1 9 10
ol_2520 1992 23 1 10 -12 2 1 9 10
ol_2520 1992 14 1 10 -31 2 1 9 10
ol_2764 1992 24 7 5 111 1 1 9 15
ol_2764 1992 14 1 11 -35 1 1 9 15
ol_2764 1992 22 3 9 -30 1 1 9 15
ol_2764 1992 34 1 11 -46 1 1 9 15
ol_3486 1992 22 3 8 51 2 1 7 12
ol_3486 1992 24 5 6 -65 2 1 7 12
ol_3486 1992 23 1 10 7 2 1 7 12
ol_3486 1992 0 2 9 7 2 1 7 12
ol_3936 1992 0 1 11 20 1 1 6 6
ol_3936 1992 22 7 5 -39 1 1 6 6
ol_3936 1992 24 4 8 19 1 1 6 6
ol_4438 1992 24 3 9 36 1 1 8 10
ol_4438 1992 23 2 10 -101 1 1 8 10
ol_4438 1992 22 5 7 101 1 1 8 10
ol_4438 1992 0 1 11 -18 1 1 8 10
ol_4438 1992 14 1 11 -18 1 1 8 10
ol_4684 1992 24 2 10 -29 1 1 8 5
ol_4684 1992 22 4 8 58 1 1 8 5
ol_4684 1992 14 1 11 17 1 1 8 5
ol_4684 1992 0 5 7 -46 1 1 8 5
ol_5890 1992 24 2 7 4 3 1 8 9
ol_5890 1992 14 1 8 2 3 1 8 9
ol_5890 1992 0 2 7 -5 3 1 8 9
ol_5890 1992 22 4 5 -1 3 1 8 9
ol_6348 1992 23 2 10 15 1 1 9 13
ol_6348 1992 22 4 8 96 1 1 9 13
ol_6348 1992 24 4 8 -11 1 1 9 13
ol_6348 1992 14 1 11 24 1 1 9 13
ol_6348 1992 34 1 11 -124 1 1 9 13
ol_7056 1992 24 2 1 6 3 1 9 8
ol_7056 1992 14 1 2 -6 3 1 9 8
ol_7550 1992 14 2 10 224 3 1 7 13
ol_7550 1992 22 3 9 -80 3 1 7 13
ol_7550 1992 0 1 11 -88 3 1 7 13
ol_7550 1992 24 6 6 -56 3 1 7 13
ol_8737 1996 24 1 1 -11 2 1 7 10
ol_8737 1996 22 1 1 11 2 1 7 10
ol_9119 2000 24 8 8 199 1 1 5 9
ol_9119 2000 22 5 11 -161 1 1 5 9
ol_9119 2000 0 2 14 17 1 1 5 9
ol_9119 2000 23 1 15 -55 1 1 5 9
ol_9125 2000 24 5 7 -28 2 1 8 13
ol_9125 2000 22 6 6 43 2 1 8 13
ol_9125 2000 23 1 11 -15 2 1 8 13
ol_9355 2000 24 7 11 -107 1 1 8 5
ol_9355 2000 22 8 10 132 1 1 8 5
ol_9355 2000 0 3 15 -25 1 1 8 5
ol_9381 2000 24 7 4 47 2 1 8 12
ol_9381 2000 34 1 10 -1 2 1 8 12
ol_9381 2000 22 3 8 -46 2 1 8 12
ol_11204 2000 0 3 1 25 1 1 5 4
ol_11204 2000 24 1 3 -25 1 1 5 4
ol_11328 2000 22 2 2 28 1 1 9 12
ol_11328 2000 24 1 3 10 1 1 9 12
ol_11328 2000 0 1 3 -38 1 1 9 12
ol_12315 2000 22 1 1 3 1 1 9 10
ol_12315 2000 24 1 1 -3 1 1 9 10
ol_12865 2004 22 3 1 15 1 1 8 6
ol_12865 2004 24 1 3 -15 1 1 8 6
ol_13084 2004 24 1 3 -27 1 1 9 8
ol_13084 2004 0 2 2 54 1 1 9 8
ol_13084 2004 22 1 3 -27 1 1 9 8
ol_13086 2004 24 2 1 -3 2 1 9 5
ol_13086 2004 0 1 2 3 2 1 9 5
ol_14043 2004 24 3 5 -15 1 1 8 9
ol_14043 2004 22 5 3 15 1 1 8 9
ol_14486 2004 0 1 1 -4 1 1 5 6
ol_14486 2004 22 1 1 4 1 1 5 6
ol_14796 2004 24 2 2 -6 1 1 9 11
ol_14796 2004 0 1 3 5 1 1 9 11
ol_14796 2004 22 1 3 1 1 1 9 11
ol_14990 2004 24 1 2 -6 2 1 9 14
ol_14990 2004 22 2 1 6 2 1 9 14
ol_14998 2004 24 3 1 2 1 1 7 12
ol_14998 2004 22 1 3 -2 1 1 7 12
ol_15036 2004 24 1 1 0 1 1 9 8
ol_15036 2004 0 1 1 0 1 1 9 8
sg_723 1998 14 1 1 0 1 1 9 18
sg_723 1998 22 1 1 0 1 1 9 18
sg_1045 1999 24 1 1 10 1 1 8 5
sg_1045 1999 0 1 1 -10 1 1 8 5
sg_1425 2001 22 1 1 12 2 1 9 11
sg_1425 2001 0 1 1 -12 2 1 9 11
