Year V0 V1 Ratio
1955 241 199 0.45
1957 223 221 0.50
1959 169 141 0.45
1962 339 236 0.41
1967 129 127 0.50
1973 123 132 0.52
1974 92 99 0.52
1975 88 104 0.54
1977 103 88 0.46
1979 88 100 0.53
1981 80 106 0.57
1983 152 199 0.57
1987 167 185 0.53
1991 81 59 0.42
1995 178 135 0.43
1997 571 636 0.53
2000 330 370 0.53
2001 153 143 0.48
2003 689 787 0.53
2005 1004 965 0.49
2007 665 862 0.56
2009 1452 1657 0.53
2011 1736 1613 0.48
2013 3541 3960 0.53
