ID Year weak_two_nv_1st
deal_291 1955 NA
deal_292 1955 NA
deal_293 1955 NA
deal_294 1955 NA
deal_295 1955 NA
deal_296 1955 NA
deal_297 1955 NA
deal_298 1955 NA
deal_299 1955 NA
deal_300 1955 NA
deal_301 1955 NA
deal_302 1955 NA
deal_303 1955 NA
deal_304 1955 NA
deal_305 1955 NA
deal_306 1955 NA
deal_307 1955 NA
deal_308 1955 NA
deal_309 1955 NA
deal_310 1955 NA
deal_311 1955 NA
deal_312 1955 NA
deal_313 1955 NA
deal_314 1955 NA
deal_315 1955 NA
deal_316 1955 NA
deal_317 1955 NA
deal_318 1955 NA
deal_319 1955 NA
deal_320 1955 NA
deal_321 1955 NA
deal_322 1955 NA
deal_323 1955 NA
deal_324 1955 NA
deal_325 1955 NA
deal_326 1955 NA
deal_327 1955 NA
deal_328 1955 NA
deal_329 1955 NA
deal_330 1955 NA
deal_331 1955 NA
deal_332 1955 NA
deal_333 1955 NA
deal_334 1955 NA
deal_335 1955 NA
deal_336 1955 NA
deal_337 1955 NA
deal_338 1955 NA
deal_339 1955 NA
deal_340 1955 NA
deal_341 1955 NA
deal_342 1955 NA
deal_343 1955 NA
deal_344 1955 NA
deal_345 1955 NA
deal_346 1955 NA
deal_347 1955 0
deal_348 1955 0
deal_349 1955 NA
deal_350 1955 NA
deal_351 1955 NA
deal_352 1955 NA
deal_353 1955 NA
deal_354 1955 NA
deal_355 1955 NA
deal_356 1955 NA
deal_357 1955 NA
deal_358 1955 NA
deal_359 1955 NA
deal_360 1955 NA
deal_361 1955 NA
deal_362 1955 NA
deal_363 1955 NA
deal_364 1955 NA
deal_365 1955 NA
deal_366 1955 NA
deal_367 1955 NA
deal_368 1955 NA
deal_369 1955 NA
deal_370 1955 NA
deal_371 1955 NA
deal_372 1955 NA
deal_373 1955 NA
deal_374 1955 NA
deal_375 1955 NA
deal_376 1955 NA
deal_377 1955 NA
deal_378 1955 NA
deal_379 1955 NA
deal_380 1955 NA
deal_381 1955 NA
deal_382 1955 NA
deal_383 1955 NA
deal_384 1955 NA
deal_385 1955 NA
deal_386 1955 NA
deal_387 1955 NA
deal_388 1955 NA
deal_389 1955 NA
deal_390 1955 NA
deal_391 1955 NA
deal_392 1955 NA
deal_393 1955 NA
deal_394 1955 NA
deal_395 1955 NA
deal_396 1955 NA
