ID Year contested_auction
deal_336 1997 1
deal_337 1997 0
deal_338 1997 0
deal_339 1997 0
deal_340 1997 0
deal_341 1997 0
deal_342 1997 0
deal_343 1997 1
deal_344 1997 1
deal_345 1997 0
deal_346 1997 0
deal_347 1997 1
deal_348 1997 0
deal_349 1997 0
deal_350 1997 0
deal_351 1997 0
deal_352 1997 1
deal_353 1997 1
deal_354 1997 1
deal_355 1997 0
deal_356 1997 0
deal_357 1997 0
deal_358 1997 1
deal_359 1997 0
deal_360 1997 0
deal_361 1997 1
deal_362 1997 0
deal_363 1997 1
deal_364 1997 1
deal_365 1997 1
deal_366 1997 1
deal_367 1997 1
deal_368 1997 1
deal_369 1997 1
deal_370 1997 1
deal_371 1997 1
deal_372 1997 1
deal_373 1997 1
deal_374 1997 1
deal_375 1997 1
deal_376 1997 1
deal_377 1997 1
deal_378 1997 1
deal_379 1997 0
deal_380 1997 0
deal_381 1997 0
deal_382 1997 0
deal_383 1997 1
deal_384 1997 1
deal_385 1997 0
deal_386 1997 0
deal_387 1997 1
deal_388 1997 1
deal_389 1997 1
deal_390 1997 1
deal_391 1997 0
deal_392 1997 0
deal_393 1997 1
deal_394 1997 1
deal_395 1997 0
deal_396 1997 0
deal_397 1997 0
deal_398 1997 0
deal_399 1997 0
deal_400 1997 0
deal_401 1997 0
deal_402 1997 0
deal_403 1997 0
deal_404 1997 1
deal_405 1997 0
deal_406 1997 1
deal_407 1997 1
deal_408 1997 1
deal_409 1997 0
deal_410 1997 1
deal_411 1997 1
deal_412 1997 1
deal_413 1997 0
deal_414 1997 1
deal_415 1997 0
deal_416 1997 0
deal_417 1997 0
deal_418 1997 0
deal_419 1997 1
deal_420 1997 0
deal_421 1997 1
deal_422 1997 1
deal_423 1997 0
deal_424 1997 0
deal_425 1997 1
deal_426 1997 1
deal_427 1997 1
deal_428 1997 0
deal_429 1997 0
deal_430 1997 1
deal_431 1997 1
deal_432 1997 1
deal_433 1997 1
deal_434 1997 1
deal_435 1997 0
deal_436 1997 1
deal_437 1997 0
deal_438 1997 0
deal_439 1997 1
deal_440 1997 0
deal_441 1997 0
deal_442 1997 0
deal_443 1997 1
deal_444 1997 0
deal_445 1997 1
deal_446 1997 1
deal_447 1997 0
deal_448 1997 0
deal_449 1997 1
deal_450 1997 1
deal_451 1997 1
deal_452 1997 1
deal_453 1997 0
deal_454 1997 0
deal_455 1997 0
deal_456 1997 1
deal_457 1997 1
deal_458 1997 1
deal_459 1997 0
deal_460 1997 0
deal_461 1997 1
deal_462 1997 1
deal_463 1997 0
deal_464 1997 0
deal_465 1997 0
deal_466 1997 0
deal_467 1997 1
deal_468 1997 1
deal_469 1997 0
deal_470 1997 0
deal_471 1997 0
deal_472 1997 0
deal_473 1997 1
deal_474 1997 1
deal_475 1997 0
deal_476 1997 0
deal_477 1997 0
deal_478 1997 0
deal_479 1997 0
deal_480 1997 0
deal_481 1997 1
deal_482 1997 1
deal_483 1997 1
deal_484 1997 1
deal_485 1997 0
deal_486 1997 0
deal_487 1997 0
deal_488 1997 0
deal_489 1997 0
deal_490 1997 0
deal_491 1997 0
deal_492 1997 0
deal_493 1997 0
deal_494 1997 1
deal_495 1997 0
deal_496 1997 0
deal_497 1997 1
deal_498 1997 1
deal_499 1997 0
deal_500 1997 0
deal_501 1997 1
deal_502 1997 0
deal_503 1997 0
deal_504 1997 0
deal_505 1997 1
deal_506 1997 0
deal_507 1997 0
deal_508 1997 1
deal_509 1997 0
deal_510 1997 0
deal_511 1997 0
deal_512 1997 1
deal_513 1997 0
deal_514 1997 1
deal_515 1997 1
deal_516 1997 0
deal_517 1997 0
deal_518 1997 0
deal_519 1997 0
deal_520 1997 1
deal_521 1997 0
deal_522 1997 0
deal_523 1997 1
deal_524 1997 1
deal_525 1997 1
deal_526 1997 1
deal_527 1997 1
deal_528 1997 1
deal_529 1997 1
deal_530 1997 1
deal_531 1997 0
deal_532 1997 0
deal_533 1997 0
deal_534 1997 0
deal_535 1997 1
deal_536 1997 0
deal_537 1997 0
deal_538 1997 1
deal_539 1997 0
deal_540 1997 0
deal_541 1997 1
deal_542 1997 1
deal_543 1997 1
deal_544 1997 1
deal_545 1997 1
deal_546 1997 1
deal_547 1997 1
deal_548 1997 1
deal_549 1997 1
deal_550 1997 1
deal_551 1997 1
deal_552 1997 1
deal_553 1997 0
deal_554 1997 0
deal_555 1997 1
deal_556 1997 1
deal_557 1997 1
deal_558 1997 1
deal_559 1997 0
deal_560 1997 0
deal_561 1997 0
deal_562 1997 0
deal_563 1997 1
deal_564 1997 1
deal_565 1997 0
deal_566 1997 0
deal_567 1997 1
deal_568 1997 1
deal_569 1997 0
deal_570 1997 0
deal_571 1997 1
deal_572 1997 1
deal_573 1997 0
deal_574 1997 1
deal_575 1997 0
deal_576 1997 1
deal_577 1997 1
deal_578 1997 1
deal_579 1997 0
deal_580 1997 0
deal_581 1997 1
deal_582 1997 1
deal_583 1997 0
deal_584 1997 0
deal_585 1997 1
deal_586 1997 1
deal_587 1997 1
deal_588 1997 1
deal_589 1997 1
deal_590 1997 1
deal_591 1997 1
deal_592 1997 1
deal_593 1997 1
deal_594 1997 1
deal_595 1997 0
deal_596 1997 1
deal_597 1997 0
deal_598 1997 0
deal_599 1997 1
deal_600 1997 1
deal_601 1997 0
deal_602 1997 0
deal_603 1997 1
deal_604 1997 1
deal_605 1997 0
deal_606 1997 1
deal_607 1997 0
deal_608 1997 1
deal_609 1997 0
deal_610 1997 1
deal_611 1997 0
deal_612 1997 1
deal_613 1997 0
deal_614 1997 0
deal_615 1997 1
deal_616 1997 1
deal_617 1997 1
deal_618 1997 0
deal_619 1997 1
deal_620 1997 1
deal_621 1997 0
deal_622 1997 0
deal_623 1997 1
deal_624 1997 1
deal_625 1997 0
deal_626 1997 1
deal_627 1997 1
deal_628 1997 0
deal_629 1997 0
deal_630 1997 0
deal_631 1997 1
deal_632 1997 0
deal_633 1997 1
deal_634 1997 0
deal_635 1997 1
deal_636 1997 1
deal_637 1998 0
deal_638 1998 0
deal_639 1998 0
deal_640 1998 1
deal_641 1998 0
deal_642 1998 0
deal_643 1998 1
deal_644 1998 0
deal_645 1998 1
deal_646 1998 1
deal_647 1998 0
deal_648 1998 0
deal_649 1998 1
deal_650 1998 1
deal_651 1998 0
deal_652 1998 1
deal_653 1998 1
deal_654 1998 0
deal_655 1998 0
deal_656 1998 0
deal_657 1998 1
deal_658 1998 1
deal_659 1998 1
deal_660 1998 1
deal_661 1998 1
deal_662 1998 1
deal_663 1998 1
deal_664 1998 1
deal_665 1998 1
deal_666 1998 1
deal_667 1998 0
deal_668 1998 1
deal_669 1998 0
deal_670 1998 1
deal_671 1998 1
deal_672 1998 1
deal_673 1998 0
deal_674 1998 0
deal_675 1998 0
deal_676 1998 0
deal_677 1998 1
deal_678 1998 1
deal_679 1998 0
deal_680 1998 0
deal_681 1998 0
deal_682 1998 0
deal_683 1998 1
deal_684 1998 1
deal_685 1998 1
deal_686 1998 1
deal_687 1998 0
deal_688 1998 0
deal_689 1998 1
deal_690 1998 0
deal_691 1998 0
deal_692 1998 1
deal_693 1998 1
deal_694 1998 1
deal_695 1998 1
deal_696 1998 1
deal_697 1998 0
deal_698 1998 0
deal_699 1998 0
deal_700 1998 1
deal_701 1998 1
deal_702 1998 0
deal_703 1998 1
deal_704 1998 1
deal_705 1998 0
deal_706 1998 1
deal_707 1998 1
deal_708 1998 1
deal_709 1998 0
deal_710 1998 1
deal_711 1998 0
deal_712 1998 0
deal_713 1998 1
deal_714 1998 1
deal_715 1998 1
deal_716 1998 1
deal_717 1998 1
