id year lvalue
bb_1 1955 0
bb_2 1955 0
bb_3 1955 0
bb_4 1955 0
bb_5 1955 0
bb_6 1955 0
bb_7 1955 0
bb_8 1955 0
bb_9 1955 0
bb_10 1955 0
bb_11 1955 0
bb_12 1955 0
bb_13 1955 0
bb_14 1955 0
bb_15 1955 0
bb_16 1955 0
bb_17 1955 0
bb_18 1955 0
bb_19 1955 0
bb_20 1955 0
bb_21 1955 0
bb_22 1955 0
bb_23 1955 0
bb_24 1955 0
bb_25 1955 0
bb_26 1955 0
bb_27 1955 0
bb_28 1955 0
bb_29 1955 0
bb_30 1955 0
bb_31 1955 0
bb_32 1955 0
bb_33 1955 0
bb_34 1955 0
bb_35 1955 0
bb_36 1955 0
bb_37 1955 0
bb_38 1955 0
bb_39 1955 0
bb_40 1955 0
bb_41 1955 0
bb_42 1955 0
bb_43 1955 0
bb_44 1955 0
bb_45 1955 0
bb_46 1955 0
bb_47 1955 0
bb_48 1955 0
bb_49 1955 4
bb_50 1955 0
bb_51 1955 0
bb_52 1955 0
bb_53 1955 0
bb_54 1955 0
bb_55 1955 0
bb_56 1955 0
bb_57 1955 0
bb_58 1955 0
bb_59 1955 0
bb_60 1955 0
bb_61 1955 0
bb_62 1955 0
bb_63 1955 0
bb_64 1955 0
bb_65 1955 0
bb_66 1955 0
bb_67 1955 0
bb_68 1955 0
bb_69 1955 0
bb_70 1955 0
bb_71 1955 0
bb_72 1955 0
bb_73 1955 0
bb_74 1955 0
bb_75 1955 0
bb_76 1955 0
bb_77 1955 0
bb_78 1955 0
bb_79 1955 0
bb_80 1955 0
bb_81 1955 0
bb_82 1955 0
bb_83 1955 0
bb_84 1955 0
bb_85 1955 0
bb_86 1955 0
bb_87 1955 0
bb_88 1955 0
bb_89 1955 0
bb_90 1955 0
bb_91 1955 0
bb_92 1955 0
bb_93 1955 0
bb_94 1955 0
bb_95 1955 0
bb_96 1955 0
bb_97 1955 0
bb_98 1955 0
bb_99 1955 0
bb_100 1955 0
bb_101 1955 0
bb_102 1955 0
bb_103 1955 0
bb_104 1955 0
bb_105 1955 4
bb_106 1955 3
bb_107 1955 0
bb_108 1955 0
bb_109 1955 0
bb_110 1955 0
bb_111 1955 0
bb_112 1955 0
bb_113 1955 0
bb_114 1955 0
bb_115 1955 0
bb_116 1955 0
bb_117 1955 4
bb_118 1955 4
bb_119 1955 0
bb_120 1955 0
bb_121 1955 0
bb_122 1955 0
bb_123 1955 0
bb_124 1955 0
bb_125 1955 0
bb_126 1955 0
bb_127 1955 0
bb_128 1955 0
bb_129 1955 0
bb_130 1955 0
bb_131 1955 0
bb_132 1955 0
bb_133 1955 0
bb_134 1955 0
bb_135 1955 0
bb_136 1955 0
bb_137 1955 0
bb_138 1955 0
bb_139 1955 0
bb_140 1955 0
bb_141 1955 0
bb_142 1955 0
bb_143 1955 0
bb_144 1955 0
bb_145 1955 0
bb_146 1955 0
bb_147 1955 0
bb_148 1955 0
bb_149 1955 0
bb_150 1955 0
bb_151 1955 0
bb_152 1955 0
bb_153 1955 0
bb_154 1955 0
bb_155 1955 4
bb_156 1955 3
bb_157 1955 0
bb_158 1955 0
bb_159 1955 0
bb_160 1955 0
bb_161 1955 0
bb_162 1955 0
bb_163 1955 0
bb_164 1955 0
bb_165 1955 0
bb_166 1955 0
bb_167 1955 0
bb_168 1955 0
bb_169 1955 0
bb_170 1955 0
bb_171 1955 0
bb_172 1955 0
bb_173 1955 4
bb_174 1955 4
bb_175 1955 0
bb_176 1955 0
bb_177 1955 0
bb_178 1955 0
bb_179 1955 0
bb_180 1955 0
bb_181 1955 0
bb_182 1955 0
bb_183 1955 0
bb_184 1955 0
bb_185 1955 0
bb_186 1955 0
bb_187 1955 0
bb_188 1955 0
bb_189 1955 0
bb_190 1955 0
bb_191 1955 0
bb_192 1955 3
bb_193 1955 0
bb_194 1955 0
bb_195 1955 0
bb_196 1955 0
bb_197 1955 0
bb_198 1955 0
bb_199 1955 4
bb_200 1955 4
bb_201 1955 0
bb_202 1955 0
bb_203 1955 0
bb_204 1955 0
bb_205 1955 0
bb_206 1955 0
bb_207 1955 0
bb_208 1955 0
bb_209 1955 0
bb_210 1955 0
bb_211 1955 0
bb_212 1955 0
bb_213 1955 0
bb_214 1955 0
bb_215 1955 0
bb_216 1955 0
bb_217 1955 0
bb_218 1955 0
bb_219 1955 0
bb_220 1955 0
bb_221 1955 0
bb_222 1955 0
bb_223 1955 0
bb_224 1955 0
bb_225 1955 0
bb_226 1955 0
bb_227 1955 0
bb_228 1955 0
bb_229 1955 0
bb_230 1955 0
bb_231 1955 0
bb_232 1955 0
bb_233 1955 0
bb_234 1955 0
bb_235 1955 0
bb_236 1955 0
bb_237 1955 0
bb_238 1955 0
bb_239 1955 0
bb_240 1955 0
bb_241 1955 0
bb_242 1955 0
bb_243 1955 0
bb_244 1955 0
bb_245 1955 0
bb_246 1955 0
bb_247 1955 0
bb_248 1955 0
bb_249 1955 0
bb_250 1955 0
bb_251 1955 4
bb_252 1955 0
bb_253 1955 0
bb_254 1955 0
bb_255 1955 0
bb_256 1955 0
bb_257 1955 5
bb_258 1955 3
bb_259 1955 0
bb_260 1955 0
bb_261 1955 0
bb_262 1955 0
bb_263 1955 0
bb_264 1955 0
bb_265 1955 0
bb_266 1955 0
bb_267 1955 0
bb_268 1955 3
bb_269 1955 0
bb_270 1955 0
bb_271 1955 0
bb_272 1955 0
bb_273 1955 0
bb_274 1955 0
bb_275 1955 0
bb_276 1955 0
bb_277 1955 0
bb_278 1955 0
bb_279 1955 0
bb_280 1955 0
bb_281 1955 0
bb_282 1955 0
bb_283 1955 0
bb_284 1955 0
bb_285 1955 0
bb_286 1955 0
bb_287 1955 0
bb_288 1955 0
bb_289 1955 0
bb_290 1955 0
bb_291 1955 0
bb_292 1955 0
bb_293 1955 0
bb_294 1955 0
bb_295 1955 0
bb_296 1955 0
bb_297 1955 0
bb_298 1955 0
bb_299 1955 0
bb_300 1955 0
bb_301 1955 0
bb_302 1955 0
bb_303 1955 0
bb_304 1955 0
bb_305 1955 0
bb_306 1955 0
bb_307 1955 0
bb_308 1955 0
bb_309 1955 0
bb_310 1955 0
bb_311 1955 0
bb_312 1955 0
bb_313 1955 0
bb_314 1955 0
bb_315 1955 0
bb_316 1955 0
bb_317 1955 0
bb_318 1955 0
bb_319 1955 0
bb_320 1955 0
bb_321 1955 0
bb_322 1955 0
bb_323 1955 0
bb_324 1955 0
bb_325 1955 0
bb_326 1955 0
bb_327 1955 0
bb_328 1955 0
bb_329 1955 3
bb_330 1955 0
bb_331 1955 0
bb_332 1955 0
bb_333 1955 0
bb_334 1955 0
bb_335 1955 0
bb_336 1955 0
bb_337 1955 0
bb_338 1955 0
bb_339 1955 0
bb_340 1955 0
bb_341 1955 0
bb_342 1955 0
bb_343 1955 0
bb_344 1955 0
bb_345 1955 0
bb_346 1955 0
bb_347 1955 0
bb_348 1955 0
bb_349 1955 0
bb_350 1955 0
bb_351 1955 0
bb_352 1955 0
bb_353 1955 0
bb_354 1955 0
bb_355 1955 0
bb_356 1955 0
bb_357 1955 0
bb_358 1955 0
bb_359 1955 0
bb_360 1955 0
bb_361 1955 0
bb_362 1955 0
bb_363 1955 0
bb_364 1955 3
bb_365 1955 0
bb_366 1955 0
bb_367 1955 0
bb_368 1955 0
bb_369 1955 0
bb_370 1955 0
bb_371 1955 0
bb_372 1955 0
bb_373 1955 0
bb_374 1955 0
bb_375 1955 0
bb_376 1955 0
bb_377 1955 0
bb_378 1955 0
bb_379 1955 0
bb_380 1955 0
bb_381 1955 0
bb_382 1955 0
bb_383 1955 0
bb_384 1955 0
bb_385 1955 0
bb_386 1955 0
bb_387 1955 0
bb_388 1955 0
bb_389 1955 0
bb_390 1955 0
bb_391 1955 0
bb_392 1955 0
bb_393 1955 0
bb_394 1955 0
bb_395 1955 0
bb_396 1955 0
bb_397 1955 0
bb_398 1955 0
bb_399 1955 0
bb_400 1955 0
bb_401 1955 0
bb_402 1955 0
bb_403 1955 0
bb_404 1955 0
bb_405 1955 0
bb_406 1955 3
bb_407 1955 0
bb_408 1955 0
bb_409 1955 0
